ARA,L10SLA,WSG,MaxH,L10SM
Rare,,-0.439957822,-0.544523457,-0.242870708
Rare,-0.639796394,-0.513758989,-0.76401668,-0.307968044
Rare,-0.656974831,-0.062846351,-0.544523457,-0.481030779
Rare,-2.099967489,,-2.259598324,-0.544440026
Rare,-0.232177865,-0.844063676,-1.368779049,-0.544959217
Rare,1.585203233,-1.238995061,-0.911390714,-0.86807047
Rare,,-1.238995061,-1.949383914,-0.86807047
Rare,,-1.238995061,-1.01486119,-0.86807047
Rare,,0.334519059,-1.610604073,-1.263931442
Rare,-1.008523696,-0.786860068,-0.073678466,-1.468990826
Rare,-0.267356831,0.103012757,-1.344099644,-1.701362256
Rare,,-0.963092823,-1.897685102,-2.091364282
Rare,,-0.963092823,-2.269113124,-2.091364282
Rare,,-0.963092823,-0.51254307,-2.091364282
Rare,,,,
Rare,,-0.63636815,-1.40681829,
Rare,0.054976049,-0.977778883,0.082600058,0.623732986
Rare,-0.10749988,1.301042434,-0.341123285,0.531541048
Rare,0.571635712,-0.362024169,-0.206703995,0.282209176
Rare,-0.174022748,0.101921752,0.615655045,0.203932547
Rare,0.112701162,-0.237956771,0.525220224,0.164690548
Rare,0.197650853,1.217931251,0.239380936,0.137115225
Rare,-1.176542876,-0.552254017,-0.404848899,-0.937230926
Rare,-0.030465386,0.467846584,1.02328533,-0.123487464
Rare,-1.875801685,0.074809313,-0.51254307,-1.617322811
Rare,0.013072693,-1.222353579,-1.077578445,0.915318658
Rare,,-0.978765639,1.838026983,0.195799569
Rare,1.047961191,-0.470485647,-0.419098754,0.161107657
Rare,,-0.547767221,1.02328533,-0.092499931
Rare,,-1.238995061,,-0.86807047
Rare,-3.404849334,-1.012482887,-0.709859041,-1.23767392
Rare,-1.401107909,-0.452646912,0.552158789,-1.166904849
Rare,-0.20764009,-2.036130978,2.950279111,-1.379263168
Rare,,-2.865957583,-1.171646973,
Rare,-1.826254063,1.230585622,-0.183844421,1.311994232
Rare,,0.00450358,-0.43791246,0.817277681
Rare,1.273077259,-1.516874853,1.02328533,-0.188300925
Rare,0.739540769,-2.38237908,0.72540166,-1.561911549
Rare,-1.267019036,0.362103804,0.396161815,0.285870244
Rare,0.712350214,1.456379261,1.838026983,-0.225113229
Rare,-0.623898929,0.772880906,0.866505259,-1.738839024
Rare,,-0.319766953,-0.497489194,-0.499100807
Rare,1.423681804,-1.51721376,0.4914175,-1.918870408
Rare,,-0.392857139,-0.152571261,0.732778982
Rare,-0.857898669,0.675760386,-0.69848228,0.576788126
Rare,0.213066048,-0.290383246,-0.66994816,0.467776619
Rare,0.856099953,0.02470861,-0.311290657,0.262134886
Rare,0.258146707,-0.228888276,1.838026983,-0.544888253
Rare,-0.274053768,0.152786432,-0.936466796,1.504002306
Rare,-0.712650044,0.439612286,0.239380936,0.501308038
Rare,,-0.090123307,1.643437317,0.384890824
Rare,-1.124551818,0.772359764,0.676034716,0.199167053
Rare,1.112550057,-1.397287617,0.458881923,-0.106959326
Rare,-0.518216721,-2.02273436,1.776482003,-0.482713318
Rare,,-3.046455843,-0.229381203,-4.693329702
Rare,,-2.738670609,-0.544523457,-4.693329702
Rare,,-2.837670543,0.999924979,-4.693329702
Rare,-0.153604769,-0.74002991,0.851395214,1.340373055
Rare,0.251582479,0.004925007,-0.2309617,0.383109476
Rare,1.057455606,-0.761879166,-0.073678466,-0.428996783
Rare,-0.115323489,1.109767444,-0.311290657,1.436992557
Rare,2.254394826,-1.422356348,1.838026983,1.232595604
Rare,,-1.536691153,0.490230349,1.39168957
Rare,-1.572649296,0.068276304,1.493628008,1.243997217
Rare,0.175430253,0.476178762,0.589119161,0.761489454
Rare,-0.786518217,0.37355634,0.552942694,0.697628992
Rare,0.865024295,-0.318776888,-0.231588823,0.70881869
Rare,-1.017966865,0.955823711,-0.01146847,0.692910672
Rare,0.920102811,-0.799813196,1.368203278,0.398789519
Rare,0.113455585,-0.842423898,0.552942694,0.308576675
Rare,0.716900573,0.774031657,2.685162645,0.116029426
Rare,1.392434453,0.487730958,-0.311290657,-0.306675446
Rare,0.743329676,-0.350485268,1.462347651,-0.8369004
Rare,0.387521084,-0.896133796,1.867048085,-0.109007881
Rare,,0.000373113,1.02328533,-0.445537536
Rare,0.455402784,-1.827419077,3.374998511,-0.805842901
Rare,0.173436682,-1.456993539,0.251927933,-1.432992037
Rare,0.931462756,-1.692718881,0.239380936,-1.918870408
Rare,1.255789551,-0.028052937,0.239380936,0.878861669
Rare,0.738335564,-0.376023894,-0.51254307,0.83764289
Rare,,0.642084897,-0.168249343,0.094299591
Rare,,-1.084323001,0.929216803,-0.605765135
Rare,0.763935329,1.513145811,-1.359784027,
Rare,1.159084829,-1.827419077,0.239380936,2.228273611
Rare,,1.230585622,-1.328348765,1.311994232
Rare,,-1.069729958,0.082600058,1.231945972
Rare,-1.138479745,-1.342498374,-1.339402513,1.948097981
Rare,0.048562593,1.580571701,1.02328533,0.85827813
Rare,-0.869858734,0.502955856,-0.732660512,0.85827813
Rare,-0.841542412,0.575366397,-0.701304315,0.80758944
Rare,-0.061598785,-1.263614349,-0.622442795,0.766159417
Rare,,0.166143821,-1.949383914,0.455530823
Rare,-0.00484511,0.765559686,-0.622913897,0.381238278
Rare,-1.57057168,-0.689960656,-0.732660512,0.3648259
Rare,,-0.068139973,-1.328348765,0.330768221
Rare,0.327993493,0.455854292,-0.936466796,0.278066004
Rare,,-0.724036067,-1.500886811,-0.188392197
Rare,-0.507817381,0.152084187,1.02328533,-0.192424127
Rare,-0.571866213,-0.415255903,-1.108914877,-0.192424127
Rare,,0.204249581,-1.949383914,-0.404381215
Rare,,0.737504376,-1.124612709,-0.422508565
Rare,,-0.836172877,-0.638591985,-0.806139081
Rare,-1.071252501,1.513145811,-1.328348765,-0.271287263
Rare,-0.556850231,0.172878828,0.239380936,-1.391867907
Rare,,-0.63636815,-1.26102525,
Rare,1.372191271,0.676357224,-1.484956774,-0.244031128
Rare,,1.230585622,-2.112292702,1.311994232
Rare,,1.230585622,-0.96778779,1.311994232
Rare,,0.204249581,-1.336593049,1.181827382
Rare,,0.204249581,0.239380936,0.383109476
Rare,,1.052599389,-1.949383914,0.865919878
Rare,0.973090459,0.155509591,,0.72121205
Rare,,0.641880417,-1.949383914,0.604896093
Rare,-0.783219695,0.720112007,-1.203003145,0.636836481
Rare,,1.516554896,0.239380936,0.56617214
Rare,,1.427360421,-1.078350309,0.276836072
Rare,1.869684763,-1.921679317,-2.422810276,0.26426817
Rare,-0.221177015,0.460070228,-1.422494024,0.23469788
Rare,-1.806359692,0.460070228,0.239380936,0.23469788
Rare,,0.460070228,-2.143688421,0.23469788
Rare,-1.647636489,0.0179736,-0.638591985,-0.072969809
Rare,,0.111713331,-1.66927742,-0.616792516
Rare,,-0.888014368,,-0.879257581
Rare,,-1.238995061,-0.572661307,-0.86807047
Rare,,-1.238995061,-1.949383914,-0.86807047
Rare,,-1.238995061,-0.356384283,-0.86807047
Rare,,-0.399457236,-2.422810276,-0.904010344
Rare,,0.086946842,-1.651394867,-1.332744099
Rare,1.983529854,-0.638689852,1.490335624,-1.567021812
Rare,,-0.522424343,,-1.918870408
Rare,,0.204249581,-0.324972526,-1.86152484
Rare,,-0.963092823,-2.347502883,-2.091364282
Rare,,,,
Rare,,,,
Rare,,-0.63636815,-1.01940132,
Rare,,-0.574659776,-0.2309617,
lover,-0.847105267,1.513145811,-0.214655139,0.486765975
lover,-1.052855375,-0.487148244,0.552942694,-1.599410014
lover,,0.704944597,-0.157274687,0.313089151
lover,-1.285366415,1.230585622,-0.182769955,0.437975185
lover,-0.932799184,1.513145811,-0.183844421,0.23469788
lover,0.7576771,0.267168962,-0.01146847,-1.617322811
lover,0.072977287,1.35487304,0.239380936,0.602296773
lover,-0.560369394,0.566105758,-0.426937797,0.338576749
lover,0.815934602,-1.317238048,2.93215763,-1.562325566
lover,,1.230585622,-0.2309617,1.309911102
lover,,-1.073097983,0.631333133,1.287774139
lover,-1.756293503,0.704944597,-0.200476704,0.313089151
lover,-0.446953485,1.513145811,0.833285689,0.582875983
lover,-1.521357847,-1.265045761,-0.073678466,0.536157992
lover,-1.436476383,0.166143821,-1.01187844,0.182325037
lover,,1.513145811,1.838026983,0.121761235
lover,,-0.449146536,1.587696493,-0.126108401
lover,1.566970137,-0.833938538,2.586519525,-0.328190028
lover,0.773377816,-0.565033069,0.239380936,-0.423232915
lover,-0.716056899,0.780059714,0.296997909,-0.447422834
lover,-0.453323768,-0.095024899,0.552942694,-0.497257512
lover,,1.681521013,1.838026983,-0.561406854
lover,,-1.238995061,-1.532242993,-0.86807047
lover,0.842764553,-1.238995061,-0.274860346,-1.413426811
lover,,-1.482173064,-0.497489194,-1.508403168
lover,1.041974232,1.384206726,0.039328535,-1.701362256
lover,1.757674504,0.5002003,-1.01486119,0.279332625
lover,-0.153604769,0.157575727,-1.328348765,0.216830951
lover,0.012876212,1.300511886,2.026682954,0.083270965
lover,2.074883501,-0.332246908,0.639975113,-0.34598494
lover,-0.8083195,0.619635089,0.019887706,-0.366928397
lover,0.194150953,-0.836172877,-0.074492171,0.781118722
lover,,-0.694044771,-2.269113124,0.781118722
lover,0.385322502,-0.963092823,-1.156744703,-2.091364282
lover,0.093202753,-0.830176779,0.302093288,-2.091364282
lover,-0.828373229,-0.963092823,-2.422810276,-2.091364282
lover,,-0.963092823,,-2.091364282
lover,,-0.63636815,-1.437614916,
lover,,,,
lover,0.88917299,-0.642057357,-0.206703995,-0.112092425
lover,1.131572917,-0.559890238,0.239380936,-0.532401182
lover,-0.726830169,-1.061766662,0.863682701,-1.688827271
lover,,2.927501029,-0.450454855,-0.490724021
lover,,1.31116862,-1.01486119,-0.764017846
lover,-0.468053068,-0.078240823,0.246377354,-0.517670841
lover,-0.124916899,0.383351621,-1.282647799,-0.566105202
lover,0.778021757,0.031949017,-0.311290657,0.304795182
lover,0.467728216,-0.416454564,1.258456648,0.468787803
lover,-1.482406245,0.34462166,1.234939516,-0.335238446
lover,1.427057327,-1.752795169,-0.419098754,-0.941126831
lover,-0.412352271,2.276018978,-0.318088939,-0.746284281
lover,0.292357912,0.41095421,-1.657667696,0.268054468
lover,,0.204249581,-0.097697953,0.417733251
lover,-1.040919405,-0.237956771,0.676034716,-0.424540037
lover,0.275091181,-0.465670994,,
insensitive,-0.865959389,-0.372656966,0.239380936,0.682906126
insensitive,-0.823454949,-0.051621166,1.02328533,0.26398896
insensitive,1.912535484,0.204249581,-0.659914184,0.671285068
insensitive,-0.569833683,0.720112007,-1.011675014,0.636836481
insensitive,0.570040101,0.166143821,-0.606407055,-0.609544695
insensitive,0.148654189,0.487015327,0.772435924,0.914534875
insensitive,-0.777045094,0.220023893,0.866505259,0.83764289
insensitive,-0.016332008,0.134153007,0.763385349,0.72601123
insensitive,1.473475915,1.576622103,1.838026983,0.632728792
insensitive,0.119104475,0.621334259,0.355398787,0.592810432
insensitive,0.079075065,0.681684843,0.239380936,-0.278230058
insensitive,0.93742228,-0.479954246,-0.340708315,-0.574418902
insensitive,-0.254336705,-0.689200555,0.861733151,-0.71511422
insensitive,-1.061808011,-1.446891019,1.014914519,-1.295990251
insensitive,1.298078007,-0.574659776,0.770420611,-1.833064436
