RAI,L10SLA,WSG,MaxH,L10SM
sensitive,0.764034595,0.778995831,1.646269363,0.473963831
sensitive,-0.599344829,0.760572633,0.759390777,0.469087682
sensitive,,-0.571693617,0.289767211,0.408062646
sensitive,-1.751318878,1.20940233,0.314433329,0.376305755
sensitive,,-1.229342007,0.69703244,0.337352466
sensitive,,0.556530323,-0.343376787,0.326625116
sensitive,,0.556530323,-0.666558267,0.326625116
sensitive,,0.556530323,-0.418004861,0.326625116
sensitive,-0.704763413,-0.260768774,0.141678864,0.353834622
sensitive,0.597792484,0.48332634,1.431289579,0.127265771
sensitive,,0.27151287,-0.561360013,0.08789415
sensitive,,-2.015263125,0.265083219,0.08789415
sensitive,-0.233664198,0.878697906,0.98350665,0.037885774
sensitive,,1.946686451,0.490540705,-0.082142418
sensitive,,0.971565272,1.646269363,-0.413195801
sensitive,1.361013778,1.283360656,-0.671648786,-0.419273407
sensitive,1.356441915,-1.165310985,0.394153877,-0.371940514
sensitive,,-1.509339227,-0.343376787,-1.222930384
sensitive,,-1.41152728,0.018282825,-1.795800521
sensitive,1.916200796,-0.089792791,-0.228509274,-1.891366305
sensitive,0.965783652,0.482579373,0.443907864,
sensitive,,0.740290744,-0.272934301,0.90892437
sensitive,0.62106659,-1.145074029,0.443907864,1.493919716
sensitive,0.486443131,-1.141140405,0.019597536,0.579668704
sensitive,-0.790867312,-0.038787117,1.646269363,-0.179812525
sensitive,0.312688394,-1.6557193,1.29469152,-0.482946793
sensitive,-0.269174378,-1.259750103,0.156486411,-1.573308313
sensitive,,0.740290744,-0.388924134,1.698562402
sensitive,0.415025403,1.755556289,1.646269363,1.264404684
sensitive,,0.393956672,0.956092769,0.937803615
sensitive,-0.469848483,-0.428607486,-1.030583574,
sensitive,,-0.798753361,-0.04340725,0.393101304
sensitive,0.329131808,0.099611176,1.664879663,0.12102277
sensitive,-0.560806679,-0.598863228,-0.425909556,-0.065862924
sensitive,,-0.598863228,0.709300677,-0.065862924
sensitive,,1.485730213,1.459548637,0.601347227
sensitive,1.607992275,3.890270699,-0.715320475,0.588729411
sensitive,,-0.416471101,0.072026479,0.579668704
sensitive,-0.551735153,-0.133219956,0.265083219,0.431003377
sensitive,,1.134956314,-0.258124325,0.382922374
sensitive,-0.70154286,-0.6863697,0.388470957,0.368826415
sensitive,-2.035207072,0.556530323,0.072026479,0.326625116
sensitive,-0.689318702,-0.98439737,-0.03107189,0.339942774
sensitive,-0.230769601,-0.005058094,0.433719725,0.302752681
sensitive,0.837124653,-1.131663053,-0.253188483,0.230294279
sensitive,,0.164190599,1.646269363,0.211031171
sensitive,,1.553186732,0.136743343,0.211031171
sensitive,,0.136599832,-0.228509274,0.139144432
sensitive,,0.145185206,0.511867141,0.05201465
sensitive,-2.004217103,1.740295383,0.030622423,-0.011206196
sensitive,1.63806825,-1.198870452,2.116015603,-0.117234603
sensitive,-0.179318381,-0.917792676,0.388470957,-0.86039539
sensitive,,-1.494518568,0.581537841,-0.817184479
sensitive,-0.027134829,-1.530632807,0.160630135,-1.107847729
sensitive,,-1.266495763,-0.006396391,-1.107847729
sensitive,,-0.089792791,-0.968881397,-1.891366305
sensitive,,0.308736243,-0.854631638,-2.490533481
sensitive,,-1.718454427,0.043037981,
sensitive,,0.541338946,-0.047117086,0.042241367
sensitive,-1.179181271,0.740290744,-0.067230635,0.178465825
sensitive,-0.250557818,1.35085423,-0.068094414,-0.031000631
