SEA,L10SLA,WSG,MaxH,L10SM
Rare,,0.840138597,2.514434509,1.505274516
Rare,,-0.638432415,0.599122324,1.505274516
Rare,,-1.035955765,1.230632441,1.503674032
Rare,,0.453924535,1.610086426,1.49591326
Rare,,0.848104484,0.309999464,1.463821176
Rare,,2.167614764,-0.363520291,1.448393088
Rare,,-1.457633736,0.673069344,1.442360675
Rare,,0.465427942,0.971305317,1.392115229
Rare,,-1.00128954,2.099415302,1.392115229
Rare,,0.484054043,-0.468007406,1.376040529
Rare,,-0.446204767,-0.710100132,1.361881294
Rare,,-0.446204767,-0.287769161,1.361881294
Rare,,-0.446204767,-0.039828366,1.361881294
Rare,,1.233114924,0.958338539,1.358029915
Rare,,0.296916645,-0.286472483,1.34638412
Rare,,1.233114924,2.255016721,1.34638412
Rare,,2.187657958,1.501638098,1.34638412
Rare,,1.098447917,-1.764685567,1.344463305
Rare,,1.098447917,0.958338539,1.344463305
Rare,,1.098447917,0.692519524,1.344463305
Rare,,1.180037881,1.610086426,1.414434726
Rare,,-0.438000473,-0.688442707,1.409195855
Rare,,0.091496929,0.050909133,1.284430809
Rare,,-1.723676278,1.178779625,1.283688729
Rare,,0.965023116,0.680460409,1.268916975
Rare,,-1.681530325,,1.266512106
Rare,,0.08179312,-1.427481073,1.255836923
Rare,,0.163295735,-1.118087432,1.243678903
Rare,,-2.128309774,-0.72721909,1.217076151
Rare,,0.484054043,0.128464523,1.193485639
Rare,,1.071920194,,1.183245735
Rare,,0.484054043,0.699002907,1.167333233
Rare,,0.484054043,0.543401529,1.15365629
Rare,,0.484054043,-0.039828366,1.144815875
Rare,,1.903000246,-0.055177329,1.144815875
Rare,,-0.488583288,0.309999464,1.22244564
Rare,,0.484054043,-0.623608579,1.141909542
Rare,,0.584507812,-0.72721909,1.114880299
Rare,,0.584507812,0.958338539,1.114880299
Rare,,0.584507812,0.414597163,1.114880299
Rare,,0.584507812,-0.72721909,1.114880299
Rare,,0.584507812,-0.401522877,1.114880299
Rare,,0.584507812,-1.116223849,1.114880299
Rare,,0.584507812,-1.764685567,1.114880299
Rare,,0.584507812,-1.03854564,1.114880299
Rare,,0.584507812,0.089564558,1.114880299
Rare,,0.584507812,-1.764685567,1.114880299
Rare,,0.584507812,-0.669380968,1.114880299
Rare,,0.584507812,-1.520002401,1.114880299
Rare,,0.584507812,-0.156804668,1.114880299
Rare,,0.584507812,-1.635017096,1.114880299
Rare,,0.584507812,-0.597675237,1.114880299
Rare,,0.584507812,-0.71437128,1.114880299
Rare,,0.584507812,0.699002907,1.114880299
Rare,,0.584507812,-0.519874548,1.114880299
Rare,,0.584507812,-1.660900903,1.114880299
Rare,,0.584507812,-0.001203291,1.114880299
Rare,,0.584507812,-0.654880004,1.114880299
Rare,,0.584507812,0.463496848,1.114880299
Rare,,0.584507812,-0.584708456,1.114880299
Rare,,0.584507812,-1.764685567,1.114880299
Rare,,1.432697647,0.439884451,1.114880299
Rare,,0.584507812,0.147914698,1.114880299
Rare,,0.584507812,-1.306608905,1.114880299
Rare,,0.584507812,-1.064479369,1.114880299
Rare,,0.584507812,0.662237469,1.114880299
Rare,,-0.638432415,-0.636575581,1.114880299
Rare,,0.584507812,-0.986678681,1.114880299
Rare,,0.584507812,-0.001203291,1.114880299
Rare,,0.584507812,1.113939913,1.114880299
Rare,,0.584507812,-0.039828366,1.114880299
Rare,,-1.054937036,0.309999464,1.088563323
Rare,,-0.5582595,0.608235437,1.088563323
Rare,,1.303159224,-0.861800169,1.085822098
Rare,,-0.479904362,-0.091970188,1.07061089
Rare,,0.08179312,-1.323814998,1.061975365
Rare,,-0.013447381,-0.798660349,1.062231319
Rare,,-0.102249197,-1.306608905,1.123053145
Rare,,-0.102249197,,1.123053145
Rare,,-0.102249197,1.703928469,1.123053145
Rare,,0.163295735,-0.604466948,1.125654322
Rare,,-0.55848072,-0.741890352,1.02644315
Rare,,-0.55848072,0.009772738,1.02644315
Rare,,-0.55848072,0.543401529,1.02644315
Rare,,0.35144108,1.081935852,1.022334871
Rare,,-1.016008785,1.913867868,1.0193351
Rare,,-0.727011721,0.180331649,1.014992065
Rare,,1.519552781,0.050909133,1.006176641
Rare,,2.064893821,1.610086426,1.003841306
Rare,,0.484054043,0.309999464,0.974645144
Rare,,1.766750882,-0.001203291,0.974645144
Rare,,-0.266866195,-1.310770012,0.968191266
Rare,,0.363727292,-0.37073056,0.954512614
Rare,,0.337559787,-0.363520291,0.949916953
Rare,,0.337559787,-0.909931671,0.949916953
Rare,,0.337559787,-1.524101484,0.949916953
Rare,,-0.425286855,-1.764685567,0.948340668
Rare,,-1.065938957,1.451076727,0.948340668
Rare,,-0.425286855,-0.857010866,0.948340668
Rare,,-0.425286855,-1.025579025,0.948340668
Rare,,-0.425286855,-1.155156971,0.948340668
Rare,,-0.425286855,-1.057988362,0.948340668
Rare,,-0.425286855,0.634169,0.948340668
Rare,,0.07396523,1.502962154,0.944654724
Rare,,0.454628736,0.361866589,1.78737453
Rare,,0.454628736,-0.72721909,1.78737453
Rare,,0.965023116,1.412175894,1.770454975
Rare,,0.484054043,-0.649542363,1.708562165
Rare,,3.503827707,-0.842117251,1.708562165
Rare,,-0.731916435,-0.940738033,1.505316524
Rare,,-0.725286256,-0.001203291,1.470027318
Rare,,-1.515110766,-0.908877992,1.39917095
Rare,,0.499613936,0.958338539,1.289120353
Rare,,0.296154842,0.828918645,1.019509844
Rare,,0.512394511,-0.597675237,
Rare,,0.597564558,-0.066037198,
Rare,,0.08179312,-1.52559037,0.704382544
Rare,,-0.462410737,-1.005911012,0.455764132
Rare,,-0.39560009,-1.440882451,0.455764132
Rare,,-0.713301727,-0.72721909,0.333999077
Rare,,-0.713301727,0.569335092,0.333999077
Rare,,-0.713301727,-0.741890352,0.333999077
Rare,,-0.713301727,-0.597675237,0.333999077
Rare,,-0.261858692,-0.545808112,0.217531693
Rare,,0.115450999,0.828918645,0.113471404
Rare,,0.484054043,0.880537847,0.113471404
Rare,,0.484054043,0.180331649,0.113471404
Rare,,-1.430609016,1.610086426,0.089563449
Rare,,-1.804534927,0.699002907,0.03872316
Rare,,0.497348586,-0.44207386,0.01834384
Rare,,-3.215985491,1.86601931,-0.028945837
Rare,,1.45496786,0.828918645,-0.040875193
Rare,,-0.082060307,1.613160998,-0.047167412
Rare,,0.109846833,0.232198775,-0.09400194
Rare,,-0.635612371,-1.141589156,-0.094432553
Rare,,-0.635612371,-0.792176959,-0.094432553
Rare,,-0.635612371,1.075039569,-0.094432553
Rare,,0.096484704,-0.805142981,-0.094432553
Rare,,-0.635612371,-0.435590469,-0.094432553
Rare,,-0.635612371,1.058911749,-0.094432553
Rare,,-1.024289124,0.504502172,-0.094432553
Rare,,-0.635612371,-0.493940986,-0.094432553
Rare,,-0.635612371,0.463496848,-0.094432553
Rare,,-0.635612371,-0.568240644,-0.094432553
Rare,,-0.635612371,1.188579564,-0.094432553
Rare,,-0.635612371,-0.363520291,-0.094432553
Rare,,-0.635612371,0.050909133,-0.094432553
Rare,,0.484054043,-1.425474563,-0.101574359
Rare,,0.484054043,1.541895708,0.697760744
Rare,,1.062095059,1.610086426,0.713782657
Rare,,-0.084031075,-0.363520291,0.712140142
Rare,,0.861988879,0.686036127,0.706438953
Rare,,2.301818463,0.686036127,0.698334399
Rare,,0.484054043,-0.541723575,0.698334399
Rare,,0.484054043,0.463496848,0.698334399
Rare,,1.585985516,0.662237469,0.698334399
Rare,,1.41298296,-0.654880004,0.676361382
Rare,,1.74975379,-0.303778911,0.671170914
Rare,,0.448354114,1.230632441,0.671170914
Rare,,0.951660987,1.610086426,0.67097993
Rare,,-0.258091324,-0.597675237,0.66434384
Rare,,-0.514832717,-0.338184662,0.66434384
Rare,,-0.258091324,1.554810543,0.66434384
Rare,,2.234425992,-0.429107079,0.653431748
Rare,,1.299126202,3.292359375,0.645798033
Rare,,2.96934253,-1.443911886,0.633930754
Rare,,0.439404802,-0.934811555,0.587700185
Rare,,0.439404802,0.258132338,0.587700185
Rare,,0.842645742,-1.82951947,0.578870599
Rare,,0.842645742,-1.53906357,0.578870599
Rare,,-0.516510961,-0.986678681,0.53574044
Rare,,-0.516510961,-0.909931671,0.53574044
Rare,,-0.516510961,-0.857010866,0.53574044
Rare,,-1.04789128,-0.416140297,0.594179509
Rare,,0.802450544,-0.289917049,0.552968592
Rare,,0.802450544,0.050909133,0.552968592
Rare,,0.764591175,-1.298400107,0.543301725
Rare,,0.208717133,,0.595519104
Rare,,0.208717133,-1.635017096,0.595519104
Rare,,0.208717133,-0.986678681,0.595519104
Rare,,-1.417197158,-1.386897063,0.594998559
Rare,,-0.203706958,-0.654880004,0.592113607
Rare,,-0.203706958,-1.771168958,0.592113607
Rare,,-0.203706958,-1.436618543,0.592113607
Rare,,-0.203706958,-0.338184662,0.592113607
Rare,,0.535996979,-0.650589003,0.592113607
Rare,,-0.203706958,-1.391890601,0.592113607
Rare,,-0.203706958,0.232198775,0.592113607
Rare,,-0.237567441,0.309999464,0.592113607
Rare,,-0.90639574,1.353631543,0.584464509
